Symbol,Name,Sector,Industry,Exchange,,,TSLA,"Tesla, Inc. ",Capital Goods,Auto Manufacturing,NASDAQ
APTX,Aptinyx Inc.,Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
APTO,"Aptose Biosciences, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ,,,,,,,
AQMS,"Aqua Metals, Inc.",Basic Industries,Metal Fabrications,NASDAQ,,,,,,,
AQB,"AquaBounty Technologies, Inc.",n/a,n/a,NASDAQ,,,,,,,
AQST,"Aquestive Therapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
AQXP,"Aquinox Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
ARDM,Aradigm Corporation,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,NASDAQ,,,,,,,
PETX,"Aratana Therapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
ABUS,Arbutus Biopharma Corporation,Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
ARCW,"ARC Group Worldwide, Inc.",Capital Goods,Metal Fabrications,NASDAQ,,,,,,,
ABIO,"ARCA biopharma, Inc.",Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,NASDAQ,,,,,,,
RKDA,"Arcadia Biosciences, Inc.",Basic Industries,Agricultural Chemicals,NASDAQ,,,,,,,
ARCB,ArcBest Corporation,Transportation,Trucking Freight/Courier Services,NASDAQ,,,,,,,
ACGL,Arch Capital Group Ltd.,Finance,Property-Casualty Insurers,NASDAQ,,,,,,,
ACGLO,Arch Capital Group Ltd.,Finance,Property-Casualty Insurers,NASDAQ,,,,,,,
ACGLP,Arch Capital Group Ltd.,Finance,Property-Casualty Insurers,NASDAQ,,,,,,,
FUV,"Arcimoto, Inc.",Consumer Non-Durables,Motor Vehicles,NASDAQ,,,,,,,
ARCE,Arco Platform Limited,n/a,n/a,NASDAQ,,,,,,,
ARCT,Arcturus Therapeutics Ltd.,n/a,n/a,NASDAQ,,,,,,,
ARDX,"Ardelyx, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
ARNA,"Arena Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
ARCC,Ares Capital Corporation,n/a,n/a,NASDAQ,,,,,,,
ARGX,argenx SE,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ,,,,,,,
ARDS,Aridis Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
ARKR,Ark Restaurants Corp.,Consumer Services,Restaurants,NASDAQ,,,,,,,
ARTX,Arotech Corporation,Miscellaneous,Industrial Machinery/Components,NASDAQ,,,,,,,
ARQL,"ArQule, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
ARRY,Array BioPharma Inc.,Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
ARRS,ARRIS International plc,Technology,Radio And Television Broadcasting And Communications Equipment,NASDAQ,,,,,,,
DWCR,Arrow DWA Country Rotation ETF,n/a,n/a,NASDAQ,,,,,,,
DWAT,Arrow DWA Tactical ETF,n/a,n/a,NASDAQ,,,,,,,
AROW,Arrow Financial Corporation,Finance,Major Banks,NASDAQ,,,,,,,
ARWR,"Arrowhead Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
ASNS,"Arsanis, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ,,,,,,,
ARTNA,Artesian Resources Corporation,Public Utilities,Water Supply,NASDAQ,,,,,,,
ARTW,"Art&#39;s-Way Manufacturing Co., Inc.",Capital Goods,Industrial Machinery/Components,NASDAQ,,,,,,,
ARVN,"Arvinas, Inc.",n/a,n/a,NASDAQ,,,,,,,
ASNA,"Ascena Retail Group, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores,NASDAQ,,,,,,,
ASND,Ascendis Pharma A/S,Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
ASCMA,"Ascent Capital Group, Inc.",Consumer Services,Other Consumer Services,NASDAQ,,,,,,,
APWC,Asia Pacific Wire & Cable Corporation Limited,Basic Industries,Telecommunications Equipment,NASDAQ,,,,,,,
ASLN,ASLAN Pharmaceuticals Limited,Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
ASML,ASML Holding N.V.,Technology,Industrial Machinery/Components,NASDAQ,,,,,,,
ASPU,Aspen Group Inc.,Consumer Services,Other Consumer Services,NASDAQ,,,,,,,
AZPN,"Aspen Technology, Inc.",Technology,EDP Services,NASDAQ,,,,,,,
ASMB,"Assembly Biosciences, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
ASRT,"Assertio Therapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
ASFI,"Asta Funding, Inc.",Finance,Finance Companies,NASDAQ,,,,,,,
ASTE,"Astec Industries, Inc.",Capital Goods,Construction/Ag Equipment/Trucks,NASDAQ,,,,,,,
ATRO,Astronics Corporation,Capital Goods,Military/Government/Technical,NASDAQ,,,,,,,
ALOT,"AstroNova, Inc.",Technology,Computer peripheral equipment,NASDAQ,,,,,,,
ASTC,Astrotech Corporation,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ,,,,,,,
ASUR,Asure Software Inc,Technology,EDP Services,NASDAQ,,,,,,,
ASV,"ASV Holdings, Inc.",Capital Goods,Construction/Ag Equipment/Trucks,NASDAQ,,,,,,,
ATAI,ATA Inc.,Consumer Services,Other Consumer Services,NASDAQ,,,,,,,
ATRA,"Atara Biotherapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ,,,,,,,
ATHN,"athenahealth, Inc.",Miscellaneous,Business Services,NASDAQ,,,,,,,
ATNX,"Athenex, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
ATHX,"Athersys, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
AAME,Atlantic American Corporation,Finance,Life Insurance,NASDAQ,,,,,,,
ACBI,"Atlantic Capital Bancshares, Inc.",Finance,Major Banks,NASDAQ,,,,,,,
AY,Atlantica Yield plc,Public Utilities,Electric Utilities: Central,NASDAQ,,,,,,,
ATLC,Atlanticus Holdings Corporation,Finance,Finance: Consumer Services,NASDAQ,,,,,,,
AAWW,Atlas Air Worldwide Holdings,Transportation,Transportation Services,NASDAQ,,,,,,,
AFH,"Atlas Financial Holdings, Inc.",Finance,Property-Casualty Insurers,NASDAQ,,,,,,,
AFHBL,"Atlas Financial Holdings, Inc.",Finance,Property-Casualty Insurers,NASDAQ,,,,,,,
TEAM,Atlassian Corporation Plc,Technology,Computer Software: Prepackaged Software,NASDAQ,,,,,,,
ATNI,"ATN International, Inc.",Public Utilities,Telecommunications Equipment,NASDAQ,,,,,,,
ATOM,Atomera Incorporated,Technology,Semiconductors,NASDAQ,,,,,,,
ATOS,Atossa Genetics Inc.,Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
ATRC,"AtriCure, Inc.",Health Care,Medical/Dental Instruments,NASDAQ,,,,,,,
ATRI,Atrion Corporation,Health Care,Medical/Dental Instruments,NASDAQ,,,,,,,
ATIS,Attis Industries Inc.,Basic Industries,Miscellaneous,NASDAQ,,,,,,,
ATISW,Attis Industries Inc.,Basic Industries,Miscellaneous,NASDAQ,,,,,,,
ATTU,Attunity Ltd.,Technology,Computer Software: Prepackaged Software,NASDAQ,,,,,,,
LIFE,"aTyr Pharma, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ,,,,,,,
AUBN,"Auburn National Bancorporation, Inc.",Finance,Major Banks,NASDAQ,,,,,,,
BOLD,"Audentes Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ,,,,,,,
AUDC,AudioCodes Ltd.,Public Utilities,Telecommunications Equipment,NASDAQ,,,,,,,
AEYE,"AudioEye, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ,,,,,,,
AUPH,Aurinia Pharmaceuticals Inc,Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
EARS,Auris Medical Holding AG,Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
JG,Aurora Mobile Limited,Technology,"Computer Software: Programming, Data Processing",NASDAQ,,,,,,,
ADSK,"Autodesk, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ,,,,,,,
AUTL,Autolus Therapeutics plc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ,,,,,,,
ADP,"Automatic Data Processing, Inc.",Technology,EDP Services,NASDAQ,,,,,,,
AUTO,"AutoWeb, Inc.",Technology,"Computer Software: Programming, Data Processing",NASDAQ,,,,,,,
AVDL,Avadel Pharmaceuticals plc,Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
ATXI,"Avenue Therapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
AVEO,"AVEO Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
AVNW,"Aviat Networks, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment,NASDAQ,,,,,,,
CDMO,"Avid Bioservices, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
CDMOP,"Avid Bioservices, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
AVID,"Avid Technology, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ,,,,,,,
AVGR,"Avinger, Inc.",Health Care,Medical/Dental Instruments,NASDAQ,,,,,,,
CAR,"Avis Budget Group, Inc.",Consumer Services,Rental/Leasing Companies,NASDAQ,,,,,,,
AHPA,Avista Healthcare Public Acquisition Corp.,Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
AHPAU,Avista Healthcare Public Acquisition Corp.,Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
AHPAW,Avista Healthcare Public Acquisition Corp.,Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
AVT,"Avnet, Inc.",Consumer Non-Durables,Electronic Components,NASDAQ,,,,,,,
AVRO,"AVROBIO, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ,,,,,,,
AWRE,"Aware, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ,,,,,,,
ACLS,"Axcelis Technologies, Inc.",Technology,Industrial Machinery/Components,NASDAQ,,,,,,,
AXGN,"AxoGen, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,NASDAQ,,,,,,,
AAXN,"Axon Enterprise, Inc.",Capital Goods,Ordnance And Accessories,NASDAQ,,,,,,,
BOFI,"Axos Financial, Inc.",Finance,Savings Institutions,NASDAQ,,,,,,,
BOFIL,"Axos Financial, Inc.",Finance,Savings Institutions,NASDAQ,,,,,,,
AXON          ,Axovant Sciences Ltd.,Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
AXSM,"Axsome Therapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
AXTI,AXT Inc,Technology,Semiconductors,NASDAQ,,,,,,,
AYTU,"Aytu BioScience, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
AZRX,"AzurRx BioPharma, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
BCOM,B Communications Ltd.,Consumer Services,Telecommunications Equipment,NASDAQ,,,,,,,
RILY,"B. Riley Financial, Inc.",Miscellaneous,Business Services,NASDAQ,,,,,,,
RILYG,"B. Riley Financial, Inc.",Miscellaneous,Business Services,NASDAQ,,,,,,,
RILYH,"B. Riley Financial, Inc.",Miscellaneous,Business Services,NASDAQ,,,,,,,
RILYI,"B. Riley Financial, Inc.",Miscellaneous,Business Services,NASDAQ,,,,,,,
RILYL,"B. Riley Financial, Inc.",Miscellaneous,Business Services,NASDAQ,,,,,,,
RILYZ,"B. Riley Financial, Inc.",Miscellaneous,Business Services,NASDAQ,,,,,,,
BOSC,B.O.S. Better Online Solutions,Technology,Computer Communications Equipment,NASDAQ,,,,,,,
BIDU,"Baidu, Inc.",Technology,"Computer Software: Programming, Data Processing",NASDAQ,,,,,,,
BCPC,Balchem Corporation,Basic Industries,Major Chemicals,NASDAQ,,,,,,,
BLDP,"Ballard Power Systems, Inc.",Energy,Industrial Machinery/Components,NASDAQ,,,,,,,
BANF,BancFirst Corporation,Finance,Major Banks,NASDAQ,,,,,,,
BANFP,BancFirst Corporation,Finance,Major Banks,NASDAQ,,,,,,,
BCTF,"Bancorp 34, Inc.",Finance,Savings Institutions,NASDAQ,,,,,,,
BAND,Bandwidth Inc.,Technology,Computer Software: Prepackaged Software,NASDAQ,,,,,,,
BOCH,Bank of Commerce Holdings (CA),Finance,Major Banks,NASDAQ,,,,,,,
BMRC,Bank of Marin Bancorp,Finance,Major Banks,NASDAQ,,,,,,,
BMLP,Bank Of Montreal,Finance,Commercial Banks,NASDAQ,,,,,,,
BKSC,Bank of South Carolina Corp.,Finance,Major Banks,NASDAQ,,,,,,,
BOTJ,"Bank of the James Financial Group, Inc.",Finance,Major Banks,NASDAQ,,,,,,,
OZK,Bank OZK,Finance,Major Banks,NASDAQ,,,,,,,
BSVN,Bank7 Corp.,Finance,Major Banks,NASDAQ,,,,,,,
BFIN,BankFinancial Corporation,Finance,Savings Institutions,NASDAQ,,,,,,,
BWFG,"Bankwell Financial Group, Inc.",Finance,Major Banks,NASDAQ,,,,,,,
BANR,Banner Corporation,Finance,Major Banks,NASDAQ,,,,,,,
BZUN,Baozun Inc.,Consumer Services,Catalog/Specialty Distribution,NASDAQ,,,,,,,
DFVL,Barclays PLC,Finance,Commercial Banks,NASDAQ,,,,,,,
DFVS,Barclays PLC,Finance,Commercial Banks,NASDAQ,,,,,,,
DLBL,Barclays PLC,Finance,Commercial Banks,NASDAQ,,,,,,,
DLBS,Barclays PLC,Finance,Commercial Banks,NASDAQ,,,,,,,
DTUL,Barclays PLC,Finance,Commercial Banks,NASDAQ,,,,,,,
DTUS,Barclays PLC,Finance,Commercial Banks,NASDAQ,,,,,,,
DTYL,Barclays PLC,Finance,Commercial Banks,NASDAQ,,,,,,,
DTYS,Barclays PLC,Finance,Commercial Banks,NASDAQ,,,,,,,
FLAT,Barclays PLC,Finance,Commercial Banks,NASDAQ,,,,,,,
STPP,Barclays PLC,Finance,Commercial Banks,NASDAQ,,,,,,,
TAPR,Barclays PLC,Finance,Commercial Banks,NASDAQ,,,,,,,
BHAC,Barington/Hilco Acquisition Corp.,Finance,Business Services,NASDAQ,,,,,,,
BHACR,Barington/Hilco Acquisition Corp.,Finance,Business Services,NASDAQ,,,,,,,
BHACU,Barington/Hilco Acquisition Corp.,Finance,Business Services,NASDAQ,,,,,,,
BHACW,Barington/Hilco Acquisition Corp.,Finance,Business Services,NASDAQ,,,,,,,
BBSI,"Barrett Business Services, Inc.",Technology,Professional Services,NASDAQ,,,,,,,
BSET,"Bassett Furniture Industries, Incorporated",Consumer Durables,Home Furnishings,NASDAQ,,,,,,,
ZTEST,BATS BZX Exchange,n/a,n/a,NASDAQ,,,,,,,
BCML,BayCom Corp,Finance,Major Banks,NASDAQ,,,,,,,
BCBP,"BCB Bancorp, Inc. (NJ)",Finance,Savings Institutions,NASDAQ,,,,,,,
BECN,"Beacon Roofing Supply, Inc.",Consumer Services,RETAIL: Building Materials,NASDAQ,,,,,,,
BBGI,"Beasley Broadcast Group, Inc.",Consumer Services,Broadcasting,NASDAQ,,,,,,,
BBBY,Bed Bath & Beyond Inc.,Consumer Services,Home Furnishings,NASDAQ,,,,,,,
BGNE,"BeiGene, Ltd.",Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
BELFA,Bel Fuse Inc.,Capital Goods,Electrical Products,NASDAQ,,,,,,,
BELFB,Bel Fuse Inc.,Capital Goods,Electrical Products,NASDAQ,,,,,,,
BLPH,"Bellerophon Therapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
BLCM,"Bellicum Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
BNCL,"Beneficial Bancorp, Inc.",Finance,Savings Institutions,NASDAQ,,,,,,,
BNFT,"Benefitfocus, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ,,,,,,,
BNTC,Benitec Biopharma Limited,Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
BNTCW,Benitec Biopharma Limited,Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
BRY,Berry Petroleum Corporation,Energy,Oil & Gas Production,NASDAQ,,,,,,,
BYSI,"BeyondSpring, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
BGCP,"BGC Partners, Inc.",Finance,Investment Bankers/Brokers/Service,NASDAQ,,,,,,,
BGFV,Big 5 Sporting Goods Corporation,Consumer Services,Other Specialty Stores,NASDAQ,,,,,,,
BRPA,Big Rock Partners Acquisition Corp.,Finance,Business Services,NASDAQ,,,,,,,
BRPAR,Big Rock Partners Acquisition Corp.,Finance,Business Services,NASDAQ,,,,,,,
BRPAU,Big Rock Partners Acquisition Corp.,Finance,Business Services,NASDAQ,,,,,,,
BRPAW,Big Rock Partners Acquisition Corp.,Finance,Business Services,NASDAQ,,,,,,,
BILI,Bilibili Inc.,Technology,EDP Services,NASDAQ,,,,,,,
BASI,"Bioanalytical Systems, Inc.",Health Care,Biotechnology: Commercial Physical & Biological Resarch,NASDAQ,,,,,,,
ORPN,Bioblast Pharma Ltd.,Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
BIOC,"Biocept, Inc.",Health Care,Medical Specialities,NASDAQ,,,,,,,
BCRX,"BioCryst Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ,,,,,,,
BDSI,"BioDelivery Sciences International, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
BFRA,Biofrontera AG,Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
BIIB,Biogen Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ,,,,,,,
BHTG,"BioHiTech Global, Inc.",Consumer Services,Other Consumer Services,NASDAQ,,,,,,,
BKYI,"BIO-key International, Inc.",Technology,Computer Communications Equipment,NASDAQ,,,,,,,
BIOL,"Biolase, Inc.",Health Care,Medical/Dental Instruments,NASDAQ,,,,,,,
BLFS,"BioLife Solutions, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,NASDAQ,,,,,,,
BLRX,BioLineRx Ltd.,Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
BMRN,BioMarin Pharmaceutical Inc.,Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
BMRA,"Biomerica, Inc.",Health Care,Medical/Dental Instruments,NASDAQ,,,,,,,
BNGO,"Bionano Genomics, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ,,,,,,,
BNGOW,"Bionano Genomics, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ,,,,,,,
BVXV,BiondVax Pharmaceuticals Ltd.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ,,,,,,,
BVXVW,BiondVax Pharmaceuticals Ltd.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ,,,,,,,
BPTH,"Bio-Path Holdings, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
BIOS,"BioScrip, Inc.",Health Care,Medical/Nursing Services,NASDAQ,,,,,,,
BSGM,"BioSig Technologies, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,NASDAQ,,,,,,,
BSTC,BioSpecifics Technologies Corp,Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
TECH,Bio-Techne Corp,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ,,,,,,,
BEAT,"BioTelemetry, Inc.",Health Care,Medical Specialities,NASDAQ,,,,,,,
BTAI,"BioXcel Therapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
BCAC,Bison Capital Acquisition Corp.,Finance,Business Services,NASDAQ,,,,,,,
BCACR,Bison Capital Acquisition Corp.,Finance,Business Services,NASDAQ,,,,,,,
BCACU,Bison Capital Acquisition Corp.,Finance,Business Services,NASDAQ,,,,,,,
BCACW,Bison Capital Acquisition Corp.,Finance,Business Services,NASDAQ,,,,,,,
BJRI,"BJ&#39;s Restaurants, Inc.",Consumer Services,Restaurants,NASDAQ,,,,,,,
BBOX,Black Box Corporation,Technology,Computer Communications Equipment,NASDAQ,,,,,,,
BRAC,Black Ridge Acquisition Corp.,Finance,Business Services,NASDAQ,,,,,,,
BRACR,Black Ridge Acquisition Corp.,Finance,Business Services,NASDAQ,,,,,,,
BRACU,Black Ridge Acquisition Corp.,Finance,Business Services,NASDAQ,,,,,,,
BRACW,Black Ridge Acquisition Corp.,Finance,Business Services,NASDAQ,,,,,,,
BLKB,"Blackbaud, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ,,,,,,,
BL,"BlackLine, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ,,,,,,,
BKCC,BlackRock Capital Investment Corporation,n/a,n/a,NASDAQ,,,,,,,
TCPC,BlackRock TCP Capital Corp.,n/a,n/a,NASDAQ,,,,,,,
BLNK,Blink Charging Co.,Consumer Durables,Electrical Products,NASDAQ,,,,,,,
BLNKW,Blink Charging Co.,Consumer Durables,Electrical Products,NASDAQ,,,,,,,
BLMN,"Bloomin&#39; Brands, Inc.",Consumer Services,Restaurants,NASDAQ,,,,,,,
BCOR,"Blucora, Inc.",Finance,Finance: Consumer Services,NASDAQ,,,,,,,
BLBD,Blue Bird Corporation,Capital Goods,Construction/Ag Equipment/Trucks,NASDAQ,,,,,,,
BHBK,"Blue Hills Bancorp, Inc.",Finance,Major Banks,NASDAQ,,,,,,,
BLUE,"bluebird bio, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ,,,,,,,
BKEP,"Blueknight Energy Partners L.P., L.L.C.",Energy,Natural Gas Distribution,NASDAQ,,,,,,,
BKEPP,"Blueknight Energy Partners L.P., L.L.C.",Energy,Natural Gas Distribution,NASDAQ,,,,,,,
BPMC,Blueprint Medicines Corporation,Health Care,Major Pharmaceuticals,NASDAQ,,,,,,,
ITEQ,BlueStar Israel Technology ETF,n/a,n/a,NASDAQ,,,,,,,
BMCH,"BMC Stock Holdings, Inc.",Consumer Services,RETAIL: Building Materials,NASDAQ,,,,,,,
WIFI,"Boingo Wireless, Inc.",Consumer Services,Telecommunications Equipment,NASDAQ,,,,,,,
BOJA,"Bojangles&#39;, Inc.",Consumer Services,Restaurants,NASDAQ,,,,,,,
BOKF,BOK Financial Corporation,Finance,Major Banks,NASDAQ,,,,,,,
BOKFL,BOK Financial Corporation,Finance,Major Banks,NASDAQ,,,,,,,
BNSO,"Bonso Electronics International, Inc.",Capital Goods,Industrial Machinery/Components,NASDAQ,,,,,,,
BKNG,Booking Holdings Inc.,Miscellaneous,Business Services,NASDAQ,,,,,,,
BRQS,"Borqs Technologies, Inc. ",Technology,EDP Services,NASDAQ,,,,,,,
BOMN,Boston Omaha Corporation,Finance,Real Estate,NASDAQ,,,,,,,
BPFH,"Boston Private Financial Holdings, Inc.",Finance,Major Banks,NASDAQ,,,,,,,
BPFHW,"Boston Private Financial Holdings, Inc.",Finance,Major Banks,NASDAQ,,,,,,,
EPAY,"Bottomline Technologies, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ,,,,,,,
BOXL,Boxlight Corporation,Miscellaneous,Industrial Machinery/Components,NASDAQ,,,,,,,
BBRX,"Braeburn Pharmaceuticals, Inc.",n/a,n/a,NASDAQ,,,,,,,
BCLI,Brainstorm Cell Therapeutics Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ,,,,,,,
BVNSC,Brandes Investment Trust,n/a,n/a,NASDAQ,,,,,,,
BDGE,"Bridge Bancorp, Inc.",Finance,Major Banks,NASDAQ,,,,,,,
BLIN          ,"Bridgeline Digital, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ,,,,,,,
BWB,"Bridgewater Bancshares, Inc.",Finance,Major Banks,NASDAQ,,,,,,,
BRID,Bridgford Foods Corporation,Consumer Non-Durables,Specialty Foods,NASDAQ,,,,,,,
BCOV,Brightcove Inc.,Technology,EDP Services,NASDAQ,,,,,,,
BHF,"Brighthouse Financial, Inc.",Finance,Life Insurance,NASDAQ,,,,,,,
BHFAL,"Brighthouse Financial, Inc.",Finance,Life Insurance,NASDAQ,,,,,,,
AVGO,Broadcom Inc.,Technology,Semiconductors,NASDAQ,,,,,,,
BVSN,"BroadVision, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ,,,,,,,
BYFC,Broadway Financial Corporation,Finance,Savings Institutions,NASDAQ,,,,,,,
BWEN,"Broadwind Energy, Inc.",Capital Goods,Metal Fabrications,NASDAQ,,,,,,,
BPY,Brookfield Property Partners L.P.,Finance,Real Estate,NASDAQ,,,,,,,
BPR,Brookfield Property REIT Inc.,Consumer Services,Real Estate Investment Trusts,NASDAQ,,,,,,,
BPRAP,Brookfield Property REIT Inc.,Consumer Services,Real Estate Investment Trusts,NASDAQ,,,,,,,
BRKL,"Brookline Bancorp, Inc.",Finance,Savings Institutions,NASDAQ,,,,,,,
BRKS,"Brooks Automation, Inc.",Technology,Industrial Machinery/Components,NASDAQ,,,,,,,
DOOO,BRP Inc.,Capital Goods,Industrial Specialties,NASDAQ,,,,,,,
BRKR,Bruker Corporation,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ,,,,,,,
BMTC,Bryn Mawr Bank Corporation,Finance,Major Banks,NASDAQ,,,,,,,
BLMT,"BSB Bancorp, Inc.",Finance,Major Banks,NASDAQ,,,,,,,
BSQR,BSQUARE Corporation,Miscellaneous,Business Services,NASDAQ,,,,,,,
BLDR,"Builders FirstSource, Inc.",Consumer Services,RETAIL: Building Materials,NASDAQ,,,,,,,
BFST,"Business First Bancshares, Inc.",Finance,Major Banks,NASDAQ,,,,,,,
CFFI,C&F Financial Corporation,Finance,Major Banks,NASDAQ,,,,,,,
CHRW,"C.H. Robinson Worldwide, Inc.",Transportation,Oil Refining/Marketing,NASDAQ,,,,,,,
CA,CA Inc.,Technology,Computer Software: Prepackaged Software,NASDAQ,,,,,,,
CCMP,Cabot Microelectronics Corporation,Technology,Semiconductors,NASDAQ,,,,,,,
CDNS,"Cadence Design Systems, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ,,,,,,,
CDZI,"Cadiz, Inc.",Public Utilities,Water Supply,NASDAQ,,,,,,,
CZR,Caesars Entertainment Corporation,Consumer Services,Hotels/Resorts,NASDAQ,,,,,,,
CSTE,Caesarstone Ltd.,Capital Goods,Building Materials,NASDAQ,,,,,,,
PRSS,CafePress Inc.,Consumer Services,Other Specialty Stores,NASDAQ,,,,,,,
CLBS,"Caladrius Biosciences, Inc.",Health Care,Hospital/Nursing Management,NASDAQ,,,,,,,
CHY,Calamos Convertible and High Income Fund,n/a,n/a,NASDAQ,,,,,,,
CHI,Calamos Convertible Opportunities and Income Fund,n/a,n/a,NASDAQ,,,,,,,
CCD,Calamos Dynamic Convertible & Income Fund,n/a,n/a,NASDAQ,,,,,,,
CHW,Calamos Global Dynamic Income Fund,n/a,n/a,NASDAQ,,,,,,,
CGO,Calamos Global Total Return Fund,n/a,n/a,NASDAQ,,,,,,,
CSQ,Calamos Strategic Total Return Fund,n/a,n/a,NASDAQ,,,,,,,
CAMP,CalAmp Corp.,Technology,Radio And Television Broadcasting And Communications Equipment,NASDAQ,,,,,,,
